NIRD_ECOLI,0.44,0.42,0.48,0.50,0.42,0.25,0.20,0
LGT_ECOLI,0.50,0.37,0.48,0.50,0.66,0.64,0.69,1
ATKB_ECOLI,0.46,0.61,0.48,0.50,0.48,0.86,0.87,1
OPPA_ECOLI,0.69,0.80,0.48,0.50,0.46,0.57,0.26,1
PTCB_ECOLI,0.53,0.42,0.48,0.50,0.16,0.29,0.39,0
SYFA_ECOLI,0.41,0.51,0.48,0.50,0.58,0.20,0.31,0
CSPA_ECOLI,0.31,0.23,0.48,0.50,0.73,0.05,0.14,0
CAFA_ECOLI,0.39,0.32,0.48,0.50,0.46,0.24,0.35,0
UBIC_ECOLI,0.30,0.37,0.48,0.50,0.43,0.18,0.30,0
MALG_ECOLI,0.70,0.40,0.48,0.50,0.56,0.86,0.83,1
SECD_ECOLI,0.88,0.42,0.48,0.50,0.52,0.73,0.75,1
AMPE_ECOLI,0.63,0.47,0.48,0.50,0.51,0.82,0.84,1
CYOC_ECOLI,0.12,0.67,0.48,0.50,0.74,0.58,0.63,1
UGPB_ECOLI,0.71,0.57,0.48,0.50,0.48,0.35,0.32,1
FECA_ECOLI,0.52,0.81,0.48,0.50,0.72,0.38,0.38,1
DSBA_ECOLI,0.71,0.71,0.48,0.50,0.40,0.54,0.39,1
NANT_ECOLI,0.20,0.46,0.48,0.50,0.57,0.78,0.81,1
ENVZ_ECOLI,0.72,0.46,0.48,0.50,0.51,0.66,0.70,1
PHOE_ECOLI,0.74,0.78,0.48,0.50,0.75,0.54,0.15,1
SECY_ECOLI,0.31,0.36,0.48,0.50,0.58,0.94,0.94,1
CYOA_ECOLI,0.70,0.39,1.00,0.50,0.51,0.82,0.84,1
METR_ECOLI,0.52,0.57,0.48,0.50,0.42,0.47,0.54,0
DCP_ECOLI,0.43,0.37,0.48,0.50,0.53,0.35,0.44,0
GCVA_ECOLI,0.40,0.50,0.48,0.50,0.45,0.39,0.47,0
MOTB_ECOLI,0.30,0.51,0.48,0.50,0.42,0.61,0.34,1
EFTU_ECOLI,0.36,0.54,0.48,0.50,0.41,0.38,0.46,0
PTCA_ECOLI,0.50,0.51,0.48,0.50,0.27,0.23,0.34,0
NLPA_ECOLI,0.75,0.55,1.00,1.00,0.40,0.47,0.30,1
TSX_ECOLI,0.68,0.76,0.48,0.50,0.84,0.45,0.27,1
SECE_ECOLI,0.48,0.49,0.48,0.50,0.52,0.77,0.71,1
LSPA_ECOLI,0.83,0.37,0.48,0.50,0.61,0.71,0.74,1
DSBD_ECOLI,0.76,0.71,0.48,0.50,0.50,0.71,0.75,1
SYK1_ECOLI,0.24,0.41,0.48,0.50,0.49,0.23,0.34,0
OMPF_ECOLI,0.75,0.76,0.48,0.50,0.83,0.57,0.30,1
RNB_ECOLI,0.24,0.34,0.48,0.50,0.38,0.30,0.40,0
NHAA_ECOLI,0.89,0.55,0.48,0.50,0.51,0.72,0.76,1
EFG_ECOLI,0.40,0.29,0.48,0.50,0.42,0.35,0.44,0
AMY2_ECOLI,0.21,0.34,0.48,0.50,0.51,0.28,0.39,0
PTHA_ECOLI,0.41,0.43,0.48,0.50,0.50,0.24,0.25,0
TBPA_ECOLI,0.56,0.54,0.48,0.50,0.43,0.37,0.30,1
CIRA_ECOLI,0.65,0.51,0.48,0.50,0.66,0.54,0.33,1
DAPD_ECOLI,0.21,0.51,0.48,0.50,0.50,0.32,0.41,0
DPPB_ECOLI,0.64,0.46,0.48,0.50,0.48,0.73,0.76,1
CYDA_ECOLI,0.55,0.47,0.48,0.50,0.57,0.78,0.80,1
FEPD_ECOLI,0.84,0.49,0.48,0.50,0.55,0.78,0.74,1
DCTA_ECOLI,0.73,0.36,0.48,0.50,0.53,0.91,0.92,1
ECOT_ECOLI,0.67,0.81,0.48,0.50,0.25,0.42,0.25,1
KUP_ECOLI,0.62,0.42,0.48,0.50,0.58,0.79,0.81,1
ECPD_ECOLI,0.64,0.72,0.48,0.50,0.49,0.42,0.19,1
RODA_ECOLI,0.61,0.66,0.48,0.50,0.46,0.87,0.88,1
PGK_ECOLI,0.34,0.28,0.48,0.50,0.41,0.35,0.44,0
METB_ECOLI,0.47,0.29,0.48,0.50,0.51,0.33,0.43,0
PTTB_ECOLI,0.31,0.44,0.48,0.50,0.50,0.79,0.82,1
PTKB_ECOLI,0.64,0.76,0.48,0.50,0.45,0.35,0.38,0
ASG1_ECOLI,0.42,0.24,0.48,0.50,0.57,0.27,0.37,0
CYPH_ECOLI,0.67,0.81,0.48,0.50,0.54,0.49,0.23,1
DPPA_ECOLI,0.57,0.59,0.48,0.50,0.39,0.47,0.33,1
PTCC_ECOLI,0.50,0.57,0.48,0.50,0.71,0.61,0.66,1
SYGA_ECOLI,0.51,0.49,0.48,0.50,0.53,0.14,0.26,0
METC_ECOLI,0.24,0.43,0.48,0.50,0.54,0.52,0.59,0
KGTP_ECOLI,0.45,0.40,0.48,0.50,0.61,0.74,0.77,1
SYV_ECOLI,0.00,0.38,0.48,0.50,0.42,0.48,0.55,0
RHAR_ECOLI,0.51,0.46,0.48,0.50,0.58,0.31,0.41,0
SERC_ECOLI,0.49,0.43,0.48,0.50,0.49,0.30,0.40,0
FRDD_ECOLI,0.64,0.58,0.48,0.50,0.48,0.78,0.73,1
ATKC_ECOLI,0.85,0.53,0.48,0.50,0.53,0.52,0.35,1
BTUR_ECOLI,0.25,0.48,0.48,0.50,0.44,0.17,0.29,0
CHEB_ECOLI,0.34,0.45,0.48,0.50,0.38,0.24,0.35,0
FADL_ECOLI,0.78,0.68,0.48,0.50,0.83,0.40,0.29,1
YCEE_ECOLI,0.52,0.54,0.48,0.50,0.62,0.76,0.79,1
PFLA_ECOLI,0.44,0.28,0.48,0.50,0.43,0.27,0.37,0
GLPD_ECOLI,0.61,0.45,0.48,0.50,0.48,0.35,0.41,0
CYOD_ECOLI,0.40,0.50,0.48,0.50,0.65,0.82,0.84,1
EFTS_ECOLI,0.24,0.35,0.48,0.50,0.31,0.19,0.31,0
GLNH_ECOLI,0.63,0.86,0.48,0.50,0.39,0.47,0.34,1
DDLA_ECOLI,0.43,0.39,0.48,0.50,0.47,0.31,0.41,0
TEHA_ECOLI,0.63,0.51,0.48,0.50,0.64,0.72,0.76,1
ACEA_ECOLI,0.07,0.40,0.48,0.50,0.54,0.35,0.44,0
MCP4_ECOLI,0.87,0.49,0.48,0.50,0.61,0.76,0.79,1
RNE_ECOLI,0.43,0.32,0.48,0.50,0.33,0.45,0.52,0
AROP_ECOLI,0.43,0.40,0.48,0.50,0.58,0.75,0.78,1
NFRC_ECOLI,0.44,0.51,0.48,0.50,0.47,0.26,0.36,0
BTUB_ECOLI,0.56,0.68,0.48,0.50,0.77,0.36,0.45,1
LIVJ_ECOLI,0.71,0.86,0.48,0.50,0.40,0.54,0.32,1
MCP3_ECOLI,0.60,0.50,1.00,0.50,0.54,0.77,0.80,1
RIMJ_ECOLI,0.38,0.26,0.48,0.50,0.54,0.16,0.28,0
CYSE_ECOLI,0.25,0.40,0.48,0.50,0.47,0.33,0.42,0
SYY_ECOLI,0.30,0.44,0.48,0.50,0.49,0.22,0.33,0
OMPC_ECOLI,0.73,0.84,0.48,0.50,0.86,0.58,0.29,1
NMPC_ECOLI,0.67,0.84,0.48,0.50,0.74,0.54,0.37,1
