FEPD_ECOLI,0.84,0.49,0.48,0.50,0.55,0.78,0.74,1
ARAE_ECOLI,0.23,0.48,0.48,0.50,0.59,0.88,0.89,1
EMRA_ECOLI,0.06,0.61,0.48,0.50,0.49,0.92,0.37,1
DDLA_ECOLI,0.43,0.39,0.48,0.50,0.47,0.31,0.41,0
AMPE_ECOLI,0.63,0.47,0.48,0.50,0.51,0.82,0.84,1
MASY_ECOLI,0.18,0.30,0.48,0.50,0.46,0.24,0.35,0
DPPC_ECOLI,0.48,0.41,0.48,0.50,0.51,0.90,0.88,1
LON_ECOLI,0.44,0.34,0.48,0.50,0.30,0.33,0.43,0
METX_ECOLI,0.25,0.37,0.48,0.50,0.43,0.26,0.36,0
DAPD_ECOLI,0.21,0.51,0.48,0.50,0.50,0.32,0.41,0
KDSA_ECOLI,0.51,0.37,0.48,0.50,0.35,0.36,0.45,0
MALZ_ECOLI,0.36,0.41,0.48,0.50,0.48,0.47,0.54,0
PTNA_ECOLI,0.35,0.37,0.48,0.50,0.30,0.34,0.43,0
GCVA_ECOLI,0.40,0.50,0.48,0.50,0.45,0.39,0.47,0
UGPQ_ECOLI,0.26,0.40,0.48,0.50,0.36,0.26,0.37,0
CYPB_ECOLI,0.30,0.16,0.48,0.50,0.56,0.11,0.23,0
CYSP_ECOLI,0.67,0.61,0.48,0.50,0.51,0.37,0.38,1
OPPA_ECOLI,0.69,0.80,0.48,0.50,0.46,0.57,0.26,1
BGLX_ECOLI,0.65,0.57,0.48,0.50,0.47,0.47,0.51,1
RHAT_ECOLI,0.49,0.61,1.00,0.50,0.56,0.71,0.74,1
PROP_ECOLI,0.41,0.51,0.48,0.50,0.53,0.75,0.78,1
TSX_ECOLI,0.68,0.76,0.48,0.50,0.84,0.45,0.27,1
CIRA_ECOLI,0.65,0.51,0.48,0.50,0.66,0.54,0.33,1
FHUA_ECOLI,0.63,0.69,0.48,0.50,0.65,0.41,0.28,1
MURF_ECOLI,0.35,0.48,0.48,0.50,0.56,0.40,0.48,0
PPB_ECOLI,0.68,0.67,0.48,0.50,0.49,0.40,0.34,1
SYP_ECOLI,0.34,0.51,0.48,0.50,0.44,0.37,0.46,0
PTHP_ECOLI,0.30,0.45,0.48,0.50,0.36,0.21,0.32,0
PROB_ECOLI,0.40,0.46,0.48,0.50,0.52,0.49,0.56,0
MCP1_ECOLI,0.86,0.39,0.48,0.50,0.59,0.89,0.90,1
