23.58,0.83,u,g,q,v,0.415,0
21.67,1.165,y,p,k,v,2.5,0
23.75,0.415,y,p,c,v,0.04,0
35.00,2.5,u,g,i,v,1,0
47.42,8,u,g,e,bb,6.5,1
17.08,3.29,u,g,i,v,0.335,0
16.25,0,y,p,aa,v,0.25,0
17.50,22,l,gg,ff,o,0,1
34.08,2.5,u,g,c,v,1,0
57.08,0.335,u,g,i,bb,1,0
39.08,4,u,g,c,v,3,0
24.50,1.75,y,p,c,v,0.165,0
33.00,2.5,y,p,w,v,7,0
39.42,1.71,y,p,m,v,0.165,0
33.67,1.25,u,g,w,v,1.165,0
28.67,14.5,u,g,d,v,0.125,0
28.25,0.875,u,g,m,v,0.96,1
32.08,4,u,g,m,v,2.5,1
25.17,3.5,u,g,cc,v,0.625,1
31.58,0.75,y,p,aa,v,3.5,0
28.08,15,y,p,e,z,0,1
19.17,9.5,u,g,w,v,1.5,1
17.83,11,u,g,x,h,1,1
29.42,1.25,u,g,w,v,1.75,0
22.92,0.17,u,g,m,v,0.085,0
38.42,0.705,u,g,c,v,0.375,0
25.33,0.58,u,g,c,v,0.29,1
39.08,6,u,g,m,v,1.29,1
19.50,9.585,u,g,aa,v,0.79,0
25.17,2.875,u,g,x,h,0.875,1
43.08,0.375,y,p,c,v,0.375,1
28.50,3.04,y,p,x,h,2.54,1
46.00,4,u,g,j,j,0,1
26.17,0.835,u,g,cc,v,1.165,0
15.17,7,u,g,e,v,1,0
33.75,0.75,u,g,k,bb,1,0
35.42,12,u,g,q,h,14,1
39.25,9.5,u,g,m,v,6.5,1
27.25,0.29,u,g,m,h,0.125,0
48.25,25.085,u,g,w,v,1.75,1
47.42,3,u,g,x,v,13.875,1
31.83,0.04,y,p,m,v,0.04,0
27.42,14.5,u,g,x,h,3.085,1
17.58,9,u,g,aa,v,1.375,1
34.25,3,u,g,cc,h,7.415,1
35.58,0.75,u,g,k,v,1.5,0
24.42,12.335,u,g,q,h,1.585,1
33.58,0.25,u,g,i,bb,4,0
26.75,2,u,g,d,v,0.75,0
74.83,19,y,p,ff,ff,0.04,0
17.92,0.54,u,g,c,v,1.75,0
36.75,5.125,u,g,e,v,5,1
21.25,1.5,u,g,w,v,1.5,1
26.17,2,u,g,j,j,0,0
52.33,1.375,y,p,c,h,9.46,0
54.33,6.75,u,g,c,h,2.625,1
16.00,3.125,u,g,w,v,0.085,0
25.00,12.5,u,g,aa,v,3,1
69.50,6,u,g,ff,ff,0,0
37.33,2.5,u,g,i,h,0.21,0
18.25,10,u,g,w,v,1,0
35.17,3.75,u,g,ff,ff,0,0
29.50,1.085,y,p,x,v,1,0
29.83,3.5,u,g,c,v,0.165,0
16.33,2.75,u,g,aa,v,0.665,0
18.92,9.25,y,p,c,v,1,1
29.58,4.5,u,g,w,v,7.5,1
25.75,0.5,u,g,c,v,1.46,1
51.33,10,u,g,i,bb,0,1
18.08,6.75,y,p,m,v,0.04,0
19.67,0.21,u,g,q,h,0.29,1
43.00,0.29,y,p,cc,h,1.75,1
51.83,2.04,y,p,ff,ff,1.5,0
37.75,7,u,g,q,h,11.5,0
21.17,0.25,y,p,c,h,0.25,0
24.50,0.5,u,g,q,h,1.5,1
38.75,1.5,u,g,ff,ff,0,0
22.75,11,u,g,q,v,2.5,1
73.42,17.75,u,g,ff,ff,0,1
17.08,0.085,y,p,c,v,0.04,0
22.50,11,y,p,q,v,3,0
34.92,5,u,g,x,h,7.5,1
29.58,4.75,u,g,m,v,2,0
38.58,3.335,u,g,w,v,4,1
43.25,3,u,g,q,h,6,1
23.08,0,u,g,k,v,1,0
21.08,4.125,y,p,i,h,0.04,0
28.17,0.125,y,p,k,v,0.085,0
23.08,11.5,u,g,i,v,3.5,1
35.17,2.5,u,g,k,v,4.5,1
39.17,1.71,u,g,x,v,0.125,1
35.25,3.165,u,g,x,h,3.75,0
27.75,1.29,u,g,k,h,0.25,0
27.00,0.75,u,g,c,h,4.25,1
23.00,0.625,y,p,aa,v,0.125,0
