low,high,small,low,0
med,low,big,high,0
vhigh,vhigh,small,med,0
vhigh,high,small,high,0
med,low,big,high,3
vhigh,high,med,high,0
high,high,big,high,0
vhigh,high,med,low,0
high,vhigh,med,med,0
med,high,med,low,0
low,med,big,med,2
low,vhigh,big,med,1
high,low,small,med,0
high,med,med,med,1
high,vhigh,big,high,0
med,low,small,low,0
high,low,small,high,1
med,vhigh,small,med,0
low,high,med,high,0
low,med,small,low,0
med,low,big,low,0
low,high,med,med,1
high,low,med,low,0
vhigh,high,small,med,0
vhigh,vhigh,small,low,0
low,med,small,med,1
low,med,med,med,2
high,med,med,high,0
low,high,med,med,1
high,vhigh,small,med,0
low,vhigh,med,high,1
high,med,big,high,0
high,med,small,low,0
high,low,big,high,1
vhigh,low,med,med,1
low,low,small,med,0
low,low,big,low,0
high,high,small,high,0
med,high,small,low,0
high,vhigh,med,high,0
low,vhigh,big,med,1
vhigh,low,med,med,1
low,med,big,med,0
low,high,big,low,0
vhigh,med,big,med,0
vhigh,vhigh,small,high,0
high,med,big,med,1
vhigh,vhigh,small,med,0
vhigh,high,small,med,0
high,low,med,low,0
med,high,med,med,0
high,high,small,low,0
high,vhigh,big,high,0
vhigh,med,big,high,1
high,vhigh,med,med,0
high,high,big,low,0
low,high,small,med,0
high,vhigh,big,med,0
vhigh,vhigh,med,med,0
low,high,med,med,0
vhigh,low,big,low,0
med,med,small,med,1
vhigh,low,small,high,0
low,vhigh,big,low,0
high,high,big,high,1
high,low,big,med,1
med,med,med,high,0
vhigh,high,small,med,0
high,high,med,high,1
high,vhigh,med,med,0
low,low,small,high,2
vhigh,vhigh,big,low,0
med,med,small,med,0
vhigh,low,small,med,0
med,high,small,low,0
low,vhigh,big,med,1
med,vhigh,small,med,0
vhigh,med,small,low,0
high,vhigh,med,high,0
vhigh,low,med,med,1
med,vhigh,small,low,0
med,low,big,low,0
med,high,small,low,0
vhigh,high,big,high,0
vhigh,high,small,low,0
vhigh,low,med,med,0
low,vhigh,big,high,0
vhigh,low,small,high,1
high,vhigh,med,low,0
low,med,big,med,2
