a,f,f,0,f,g,00120,0,0
b,t,f,0,t,g,00120,0,1
a,t,f,0,f,s,00280,0,1
b,t,t,05,t,g,00352,690,1
a,f,f,0,t,g,00000,2,0
b,f,t,01,f,g,00340,2803,0
b,t,f,0,t,g,00160,300,1
b,f,f,0,t,g,00136,0,0
b,t,f,0,t,g,00052,1442,1
b,f,f,0,t,g,00480,0,0
a,f,f,0,f,g,00120,87,0
a,f,f,0,t,g,00160,0,0
b,t,t,05,t,g,00108,1097,1
b,f,f,0,t,g,00000,501,0
b,t,t,07,t,g,00195,0,1
b,t,t,01,f,g,00080,278,1
b,t,t,06,t,g,00070,0,1
b,f,t,02,f,g,00128,6,0
b,t,f,0,t,g,00092,0,1
b,t,t,08,t,g,00300,162,1
b,t,t,04,t,g,00253,857,1
b,f,f,0,f,g,00216,2100,0
a,t,t,19,f,g,00000,500,1
a,f,t,02,t,g,00320,1,0
b,f,f,0,t,g,00141,0,0
b,t,f,0,f,g,00080,0,0
b,t,f,0,f,g,00000,0,1
b,f,f,0,f,g,00108,100,0
b,f,f,0,t,g,00210,0,0
b,t,f,0,t,g,00400,5800,1
b,f,f,0,t,g,00220,5,0
b,f,t,02,f,g,00160,1,0
b,t,f,0,t,g,00320,0,1
b,f,f,0,t,g,00232,0,0
a,f,t,01,t,g,00280,10,0
b,t,t,03,f,g,00120,14,1
b,f,f,0,f,g,00000,2,0
b,f,t,01,t,g,00416,21,0
a,t,t,02,t,g,00167,500,0
b,t,f,0,f,g,00000,0,1
b,t,f,0,f,g,00130,1,0
a,t,t,08,t,g,00396,4159,1
b,t,f,0,f,s,00120,0,1
b,f,f,0,t,g,00280,55,0
a,f,f,0,t,g,00360,6,0
b,t,t,17,t,g,00000,0,1
b,t,f,0,t,s,00280,0,0
b,t,t,01,f,g,00240,100,1
a,f,t,01,f,g,00120,1,0
a,f,f,0,f,g,00000,120,0
b,t,t,06,f,g,00200,327,1
a,f,f,0,f,g,00160,0,0
a,f,f,0,f,g,00220,1000,0
b,t,t,01,t,g,00840,59,1
b,t,t,01,f,g,00211,0,1
b,f,t,01,f,g,00100,1,0
a,f,f,0,t,s,00144,0,0
a,f,f,0,f,g,00340,1,0
a,t,t,02,f,g,00200,0,0
b,t,t,02,t,g,00080,0,1
a,t,t,04,f,g,00080,0,1
b,f,f,0,f,g,00160,2,0
a,f,f,0,f,g,00120,18,0
