46.00,u,j,t,f,0,00100,1
33.17,y,h,t,t,01,00180,1
30.42,u,h,f,t,03,00000,0
31.83,u,v,t,f,0,00523,0
62.50,y,h,t,f,0,00112,0
26.17,u,v,f,f,0,00100,0
60.08,u,ff,t,t,15,00000,1
24.08,u,h,t,t,01,00000,1
47.83,u,bb,f,f,0,00520,0
34.08,y,bb,t,t,01,00280,1
27.83,y,h,t,t,02,00075,0
31.67,u,v,t,t,08,00303,1
34.67,u,v,f,f,0,00028,0
48.75,y,ff,t,f,0,00000,0
25.92,u,v,f,t,02,00174,0
41.33,u,bb,t,f,0,00000,1
27.83,u,v,t,t,05,00100,1
33.75,u,bb,f,f,0,00180,0
22.50,y,v,t,f,0,00268,0
73.42,u,ff,t,f,0,00000,1
27.58,u,v,f,t,01,00280,0
25.33,u,h,t,f,0,00360,0
20.42,u,v,t,t,01,00100,1
26.25,u,v,f,f,0,00100,0
21.58,y,v,f,f,0,00160,0
41.00,y,h,t,t,23,00455,1
36.33,u,v,t,f,0,00200,0
19.42,y,v,t,f,0,00100,0
44.25,u,v,t,f,0,00400,0
49.17,u,ff,f,f,0,00200,0
57.42,u,h,t,t,03,00000,1
22.75,u,v,f,f,0,00000,0
39.92,u,bb,f,f,0,00550,0
28.92,u,h,t,t,11,00000,1
56.42,y,v,t,t,40,00000,1
29.58,y,v,f,f,0,00280,0
40.58,u,v,t,t,07,00000,1
25.00,y,v,t,f,0,00120,0
18.83,y,h,t,f,0,00240,1
22.92,y,v,f,f,0,00160,0
19.67,u,h,t,t,11,00080,1
17.58,u,h,f,t,01,00120,0
39.42,y,v,f,f,0,00400,0
40.92,y,v,f,f,0,00130,0
57.08,u,v,t,t,07,00000,1
16.92,y,v,f,f,0,00200,0
19.17,u,v,t,f,0,00120,1
24.75,u,h,f,f,0,00280,0
22.50,u,v,t,t,10,00080,0
18.42,y,v,t,f,0,00120,0
23.50,u,v,t,t,05,00120,1
35.00,u,h,f,f,0,00000,0
16.17,u,v,f,f,0,00000,1
17.42,u,v,f,f,0,00060,0
27.00,y,v,t,f,0,00260,1
18.83,u,v,f,f,0,00160,0
36.67,y,v,t,t,10,00320,1
27.75,y,v,t,t,02,00260,1
48.08,u,v,f,f,0,00000,1
20.42,u,v,t,t,03,00200,1
21.08,y,ff,f,f,0,00000,0
40.33,y,h,t,t,14,00000,1
15.17,u,v,f,f,0,00600,0
29.58,u,v,f,t,01,00460,0
34.17,u,v,t,t,12,00000,1
23.25,u,v,t,f,0,00300,1
21.25,u,v,f,f,0,00150,1
42.17,u,h,t,f,0,00092,1
21.42,y,n,f,f,0,00132,0
19.17,y,bb,f,f,0,00500,1
25.25,u,v,f,f,0,00180,0
21.17,y,h,f,f,0,00280,0
20.17,u,v,t,t,03,00040,1
