27.42,12.5,u,0
21.42,0.75,y,0
35.17,3.75,u,0
21.33,10.5,u,1
21.83,11,u,1
19.50,0.165,u,0
17.08,0.085,y,0
31.67,16.165,u,1
19.17,4,y,0
24.08,9,u,0
28.17,0.375,u,1
32.33,0.54,u,1
20.08,0.25,u,0
41.33,0,u,1
67.75,5.5,u,1
36.00,1,u,1
23.75,0.71,u,0
28.58,3.54,u,0
42.08,1.04,u,1
28.75,1.5,y,0
16.25,0,y,0
23.58,1.79,u,0
17.25,3,u,0
25.00,11.25,u,1
23.58,0.835,u,0
22.50,8.46,y,1
15.75,0.375,u,0
36.17,18.125,u,0
17.67,4.46,u,0
60.58,16.5,u,1
16.00,3.125,u,0
35.58,0.75,u,0
20.00,0,u,0
34.42,4.25,u,1
40.92,0.5,y,0
35.75,0.915,u,1
34.42,1.335,u,0
25.67,3.25,u,0
39.17,1.71,u,1
68.67,15,u,1
76.75,22.29,u,1
21.58,0.79,y,0
28.25,5.04,y,1
20.67,3,u,1
26.67,2.71,y,1
60.92,5,u,1
21.67,1.165,y,0
50.25,0.835,u,0
27.67,0.75,u,0
19.75,0.75,u,0
17.92,0.54,u,0
39.00,5,u,1
18.17,10.25,u,0
23.50,1.5,u,0
25.58,0.335,u,0
21.17,0,u,0
41.00,2.04,y,1
43.00,0.29,y,1
35.25,16.5,y,0
34.17,5.25,u,1
25.75,0.5,u,1
23.33,11.625,y,1
33.75,0.75,u,0
23.25,1.5,u,1
51.58,15,u,1
24.75,13.665,u,0
56.42,28,y,1
20.67,5.29,u,0
38.17,10.125,u,1
23.50,9,u,1
38.75,1.5,u,0
22.17,0.585,y,0
34.00,5.085,y,0
25.75,0.5,u,1
20.17,8.17,u,1
41.58,1.75,u,0
20.75,5.085,y,0
25.00,12,u,0
31.42,15.5,u,0
53.92,9.625,u,1
26.67,1.75,y,1
17.92,0.205,u,0
22.08,11,u,1
20.17,9.25,u,1
31.92,4.46,u,1
22.42,11.25,y,1
49.00,1.5,u,0
28.42,3.5,u,1
25.25,12.5,u,0
17.08,0.25,u,0
20.42,1.085,u,0
36.17,0.42,y,0
22.50,11,y,0
53.33,0.165,u,0
54.83,15.5,u,0
21.00,3,y,1
50.08,12.54,u,1
45.83,10.5,u,1
18.42,9.25,u,1
23.25,1,u,1
24.75,12.5,u,1
24.08,0.5,u,1
38.92,1.75,u,0
36.58,0.29,u,0
34.83,2.5,y,0
36.42,0.75,y,0
29.67,1.415,u,1
36.75,5.125,u,1
22.50,8.5,u,0
23.17,0,u,1
26.25,1.54,u,0
21.08,4.125,y,0
23.08,11.5,u,1
25.42,0.54,u,0
28.25,0.875,u,1
34.08,6.5,u,0
65.17,14,u,1
23.00,1.835,u,0
44.25,11,y,0
22.50,0.125,y,0
25.00,12.33,u,1
57.58,2,u,0
26.75,1.125,u,1
37.33,2.5,u,0
60.08,14.5,u,1
19.42,7.25,u,0
21.08,5,y,0
40.92,0.835,u,0
19.33,9.5,u,1
19.58,0.585,u,0
19.17,0.585,y,0
73.42,17.75,u,1
27.83,1.5,u,0
29.58,4.75,u,0
36.33,3.79,u,0
39.58,13.915,u,1
55.92,11.5,u,1
22.75,6.165,u,0
24.50,1.04,y,0
32.00,6,u,0
31.25,2.835,u,0
20.00,1.25,y,0
36.75,4.71,u,0
22.75,11,u,1
27.83,1,y,0
31.58,0.75,y,0
25.33,0.58,u,1
57.08,19.5,u,1
28.08,15,y,1
57.83,7.04,u,1
22.17,2.25,u,0
22.17,12.125,u,0
25.25,1,u,0
36.67,3.25,u,1
34.00,5.5,y,0
33.58,2.75,u,1
18.83,0.415,y,0
16.08,0.335,u,0
18.33,1.21,y,0
19.17,5.415,u,0
36.25,5,u,1
22.92,0.17,u,0
21.83,0.25,u,1
43.17,5,u,0
38.42,0.705,u,0
27.67,2,u,1
19.58,0.665,y,0
20.42,7,u,1
26.92,2.25,u,0
40.92,2.25,y,0
22.67,2.54,y,1
24.75,0.54,u,0
21.50,9.75,u,0
18.83,9.5,u,1
35.00,3.375,u,0
34.92,2.5,u,1
27.25,1.585,u,1
69.50,6,u,0
41.17,1.335,u,0
33.50,1.75,u,1
34.08,2.5,u,0
16.00,0.165,u,0
40.25,21.5,u,1
21.92,11.665,u,0
54.33,6.75,u,1
20.83,0.5,y,0
32.42,2.165,y,0
58.67,4.46,u,1
33.17,3.165,y,1
35.75,2.415,u,0
23.58,11.5,y,0
51.33,10,u,1
18.92,9,u,1
37.33,6.5,u,1
22.08,0.83,u,1
24.17,0.875,u,1
24.42,2,u,0
41.50,1.54,u,1
28.67,1.04,u,1
20.08,1.25,u,0
27.67,1.5,u,0
25.00,11,y,0
39.50,1.625,u,0
19.42,6.5,u,1
22.50,0.415,u,0
30.58,10.665,u,0
33.17,1,u,1
25.00,12.5,u,1
52.42,1.5,u,0
23.25,5.875,u,1
19.00,1.75,y,0
23.00,0.625,y,0
21.25,2.335,u,1
26.75,2,u,0
17.83,11,u,1
26.92,13.5,u,1
16.92,0.335,y,0
45.00,8.5,u,1
33.08,1.625,u,0
48.08,6.04,u,1
39.83,0.5,u,0
19.58,0.665,u,0
23.92,1.5,u,1
23.58,0.585,y,0
32.33,3.5,u,0
47.17,5.835,u,0
31.83,0.04,y,0
74.83,19,y,0
24.42,12.335,u,1
57.08,0.335,u,0
33.67,1.25,u,0
31.33,19.5,u,1
15.83,7.625,u,0
38.58,3.335,u,1
47.33,6.5,u,0
32.17,1.46,u,1
22.83,2.29,u,1
22.92,1.25,u,0
39.08,4,u,0
28.33,5,u,1
21.83,1.54,u,0
39.50,4.25,u,1
29.92,1.835,u,1
30.50,6.5,u,1
52.83,15,u,1
30.75,1.585,u,0
18.08,6.75,y,0
24.33,2.5,y,0
42.75,4.085,u,0
22.58,10.75,u,1
27.83,1.54,u,1
26.17,0.25,u,1
21.17,0.875,y,0
17.92,10.21,u,0
32.67,5.5,u,1
69.17,9,u,0
24.50,1.75,y,0
20.50,2.415,u,1
31.75,3,y,0
27.25,1.665,u,1
34.17,2.75,u,0
15.92,2.875,u,0
24.08,0.875,u,0
19.67,0.375,u,1
33.92,1.585,y,0
56.00,12.5,u,1
23.08,2.5,u,1
37.17,4,u,0
42.00,9.79,u,1
21.92,0.54,y,1
18.25,0.165,u,0
16.33,0.21,u,0
32.42,3,u,0
32.25,14,y,0
39.33,5.875,u,1
16.92,0.5,u,0
21.17,0.25,y,0
37.50,1.125,y,1
25.17,3.5,u,1
17.08,3.29,u,0
22.67,1.585,y,1
29.50,1.085,y,0
26.17,0.835,u,0
16.17,0.04,u,1
43.25,3,u,1
42.17,5.04,u,1
48.75,8.5,u,1
27.25,0.29,u,0
24.58,0.67,u,0
54.58,9.415,u,1
38.67,0.21,u,1
39.25,9.5,u,1
40.58,5,u,1
37.50,0.835,u,0
23.42,0.585,u,0
47.25,0.75,u,1
31.25,1.125,u,0
15.83,0.585,u,1
24.75,3,u,1
27.00,1.5,y,1
28.75,3.75,u,1
23.08,0,u,0
54.42,0.5,y,1
24.33,6.625,y,1
23.42,0.79,y,1
28.50,1,u,0
25.25,13.5,y,0
30.08,1.04,y,0
31.25,3.75,u,1
47.67,0.29,u,1
36.33,2.125,y,1
20.67,0.415,u,0
34.17,9.17,u,1
17.67,0,y,0
19.67,0.21,u,1
21.75,11.75,u,0
27.42,14.5,u,1
33.25,2.5,y,0
41.42,5,u,1
34.08,0.08,y,1
28.00,2,u,1
22.00,0.79,u,0
51.83,3,y,0
28.67,14.5,u,0
36.08,2.54,u,0
20.75,10.335,u,1
32.25,0.165,y,1
58.42,21,u,1
30.25,5.5,u,0
49.50,7.585,u,1
39.42,1.71,y,0
23.08,2.5,u,0
49.17,2.29,u,0
34.67,1.08,u,0
26.17,12.5,y,0
32.33,7.5,u,0
20.17,5.625,u,1
33.00,2.5,y,0
20.00,11.045,u,0
29.17,3.5,u,0
52.50,6.5,u,1
21.33,7.5,u,1
30.00,5.29,u,1
22.25,1.25,y,0
21.50,6,u,1
44.17,6.665,u,1
17.33,9.5,u,0
33.08,4.625,u,1
31.00,2.085,u,0
21.25,1.5,u,1
22.33,11,u,1
29.50,0.46,u,1
19.50,0.29,u,0
25.42,1.125,u,0
18.42,10.415,y,0
29.50,0.58,u,0
41.92,0.42,u,1
33.17,3.04,y,1
47.42,8,u,1
16.25,0.835,u,0
23.58,0.83,u,0
19.17,9.5,u,1
22.42,5.665,u,1
52.17,0,y,0
25.50,0.375,u,1
38.58,5,u,0
13.75,4,y,1
27.00,0.75,u,1
21.92,0.5,u,0
26.08,8.665,u,1
25.83,12.835,u,0
33.58,0.335,y,0
35.17,2.5,u,1
22.25,0.46,u,0
41.00,0.04,u,1
64.08,20,u,1
22.67,0.165,u,1
22.67,10.5,u,1
23.50,3.165,y,0
29.83,3.5,u,0
16.50,1.25,u,0
27.17,1.25,u,0
30.17,6.5,u,1
41.17,6.5,u,1
48.17,7.625,u,1
31.08,3.085,u,0
24.58,1.25,u,0
35.17,25.125,u,1
18.83,3.54,y,0
27.67,2.04,u,0
31.92,3.125,u,0
28.92,15,u,1
41.17,1.25,y,0
28.50,3.04,y,1
26.67,14.585,u,0
33.67,0.375,u,1
23.75,0.415,y,0
40.58,1.5,u,0
25.67,0.29,y,0
26.83,0.54,u,0
23.00,11.75,u,1
42.50,4.915,y,1
42.00,0.205,u,1
30.58,2.71,y,0
65.42,11,u,1
23.33,1.5,u,1
26.17,2,u,0
15.17,7,u,0
30.67,2.5,u,0
48.58,6.5,u,1
18.17,10,y,0
52.33,1.375,y,0
29.83,1.25,y,0
24.92,1.25,u,0
34.92,5,u,1
20.75,10.25,u,1
34.83,1.25,y,0
36.50,4.25,u,0
25.17,2.875,u,1
24.50,2.415,y,0
37.50,1.75,y,0
39.92,0.54,y,1
43.17,2.25,u,0
18.08,5.5,u,1
18.17,2.46,u,0
22.25,9,u,0
16.33,2.75,u,0
25.67,12.5,u,1
26.67,4.25,u,1
47.67,2.5,u,1
22.75,11.5,u,0
19.67,10,y,0
18.50,2,u,1
25.33,2.085,u,0
20.33,10,u,1
20.42,0.835,u,1
28.58,1.665,u,0
33.58,0.25,u,0
58.33,10,u,1
44.83,7,y,0
40.83,10,u,1
30.17,0.5,u,1
41.17,4.04,u,1
42.83,4.625,u,1
34.75,15,u,1
18.83,9.54,u,1
20.25,9.96,u,1
56.75,12.25,u,1
18.67,5,u,0
30.33,0.5,u,0
40.00,6.5,u,1
43.25,25.21,u,0
29.58,1.75,y,0
28.92,0.375,u,0
56.50,16,u,1
24.58,12.5,u,0
63.33,0.54,u,0
31.08,1.5,y,0
29.42,1.25,u,0
22.83,3,u,1
45.00,4.585,u,0
31.67,0.83,u,1
19.33,10.915,u,0
29.42,1.25,u,0
35.25,3.165,u,0
34.50,4.04,y,1
27.67,13.75,u,1
56.58,18.5,u,1
23.25,4,u,1
18.58,10.29,u,0
27.75,1.29,u,0
20.42,1.835,u,1
36.67,2,u,0
46.67,0.46,u,1
22.67,0.79,u,0
41.75,0.96,u,1
24.50,0.5,u,1
32.83,2.5,u,1
17.58,9,u,1
26.33,13,u,0
27.75,0.585,y,1
17.58,10,u,0
28.75,1.165,u,0
20.00,7,u,0
28.17,0.125,y,0
