Jordan,5,1,98,2,8,0
Poland,3,1,313,36,5,0
Panama,2,4,76,2,2,1
Qatar,5,1,11,0,8,0
Afghanistan,5,1,648,16,10,0
Djibouti,4,1,22,0,3,0
New-Zealand,6,2,268,2,1,1
Yugoslavia,3,1,256,22,6,0
Brunei,5,1,6,0,10,0
Vietnam,5,1,333,60,10,0
Western-Samoa,6,3,3,0,1,1
Liberia,4,4,111,1,10,0
Niue,6,3,0,0,1,1
Rwanda,4,2,26,5,10,0
Singapore,5,1,1,3,7,0
Guinea-Bissau,4,4,36,1,6,0
Germany-FRG,3,1,249,61,4,1
Bahrain,5,1,1,0,8,0
Belize,1,4,23,0,1,1
Morocco,4,4,447,20,8,0
Taiwan,5,1,36,18,7,0
Peru,2,3,1285,14,2,1
Mexico,1,4,1973,77,2,1
Zimbabwe,4,2,391,8,10,0
Montserrat,1,4,0,0,1,1
Albania,3,1,29,3,6,0
Nauru,6,2,0,0,10,1
Sierra-Leone,4,4,72,3,1,0
Togo,4,1,57,2,3,0
French-Guiana,2,4,91,0,3,1
Cape-Verde-Islands,4,4,4,0,6,1
Hong-Kong,5,1,1,5,7,0
Malawi,4,2,118,6,10,0
Netherlands,3,1,41,14,6,1
France,3,1,547,54,3,1
Norway,3,1,324,4,6,1
Lebanon,5,1,10,3,8,0
Syria,5,1,185,10,8,0
Mozambique,4,2,783,12,10,0
Austria,3,1,84,8,4,1
Tunisia,4,1,164,7,8,0
Marianas,6,1,0,0,10,1
Saudi-Arabia,5,1,2150,9,8,0
US-Virgin-Isles,1,4,0,0,1,1
Grenada,1,4,0,0,1,1
Malta,3,1,0,0,10,1
Kiribati,6,1,0,0,1,1
South-Yemen,5,1,288,2,8,0
Colombia,2,4,1139,28,2,1
St-Vincent,1,4,0,0,1,1
Lesotho,4,2,30,1,10,0
Turks-Cocos-Islands,1,4,0,0,1,1
North-Yemen,5,1,195,9,8,0
Netherlands-Antilles,1,4,0,0,6,1
Argentine,2,3,2777,28,2,1
Sudan,4,1,2506,20,8,0
Belgium,3,1,31,10,6,1
Egypt,4,1,1001,47,8,0
Hungary,3,1,93,11,9,0
French-Polynesia,6,3,4,0,3,1
Tonga,6,2,1,0,10,1
Switzerland,3,1,41,6,4,1
Soloman-Islands,6,2,30,0,1,1
Sri-Lanka,5,1,66,15,10,0
Germany-DDR,3,1,108,17,4,0
