63,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,South,0
37,13,Separated,Exec-managerial,Not-in-family,White,Male,0,0,35,United-States,0
32,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,Mexico,0
58,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
32,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,40,United-States,0
53,10,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
62,8,Divorced,?,Not-in-family,White,Male,0,0,40,Canada,0
26,13,Divorced,Other-service,Not-in-family,White,Female,0,0,45,United-States,0
35,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1
28,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,1
52,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,38,United-States,0
41,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
17,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
20,7,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,0
65,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
32,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
45,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Germany,0
29,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
25,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,0
31,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
60,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,1
42,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,96,United-States,0
49,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,43,United-States,1
24,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
44,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,1
50,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,65,United-States,1
25,10,Never-married,Prof-specialty,Not-in-family,White,Male,8614,0,40,United-States,1
37,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,1
50,9,Divorced,Exec-managerial,Not-in-family,White,Female,99999,0,35,United-States,1
40,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
24,13,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,0
67,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,24,United-States,0
48,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,1
21,9,Never-married,Protective-serv,Own-child,Black,Male,0,0,40,United-States,0
35,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
23,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,5,United-States,0
60,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,0
34,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
61,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,20,United-States,1
31,6,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0
17,7,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,16,United-States,0
32,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
22,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
53,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0
